AtcoCode,TiplocCode,CrsCode,StationName,StationNameLang,GridType,Easting,Northing,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Latitude,Longitude
9100PENZNCE,PENZNCE,PNZ,Penzance Rail Station,"",U,147588,30599,2003-11-04T00:00:00,2011-09-30T14:47:28,2,rev,50.1216622978, -5.5326194274
9100STIVES,STIVES,SIV,St Ives (Cornwall) Rail Station,"",U,151947,40127,2005-04-04T00:00:00,2011-09-30T14:47:28,4,rev,50.2090340797, -5.4779638071
9100CARBISB,CARBISB,CBB,Carbis Bay Rail Station,"",U,152930,38745,2003-11-04T00:00:00,2011-09-30T14:47:28,5,rev,50.1970388168, -5.4633147211
9100STERTH,STERTH,SER,St Erth Rail Station,"",U,154150,35730,2003-11-04T00:00:00,2007-02-13T17:06:21,3,rev,50.1704799545, -5.4443040887
9100LELANTS,LELANTS,LTS,Lelant Saltings Rail Station,"",U,154430,36640,2003-11-04T00:00:00,2011-09-30T14:47:28,2,rev,50.1787654627, -5.4409776419
9100LELANT,LELANT,LEL,Lelant Rail Station,"",U,154770,37220,2003-11-04T00:00:00,2007-02-13T17:06:21,3,rev,50.1841132154, -5.4365983681
9100HAYLE,HAYLE,HYL,Hayle Rail Station,"",U,155970,37325,2003-11-04T00:00:00,2011-09-30T14:47:28,4,rev,50.1855516133, -5.4198876444
9100CBORNE,CBORNE,CBN,Camborne Rail Station,"",U,164830,39696,2003-11-04T00:00:00,2006-09-18T18:24:34,2,rev,50.210424474, -5.2974601339
9100ARISAIG,ARISAIG,ARG,Arisaig Rail Station,"",U,166400,786700,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,56.9125239651, -5.8390581876
9100MLAIG,MLAIG,MLG,Mallaig Rail Station,"",U,167560,797060,2005-04-04T00:00:00,2006-09-18T18:24:34,1,rev,57.005965587, -5.8295792296
9100MORAR,MORAR,MRR,Morar Rail Station,"",U,167800,793000,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,56.9696962652, -5.8218995718
9100REDRUTH,REDRUTH,RED,Redruth Rail Station,"",U,170040,42009,2003-11-04T00:00:00,2007-02-13T17:06:21,3,rev,50.2332412948, -5.2259636066
9100BEASDAL,BEASDAL,BSL,Beasdale Rail Station,"",U,170900,785000,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,56.8995320852, -5.7637827088
9100KYLELSH,KYLELSH,KYL,Kyle of Lochalsh Rail Station,"",U,176247,827123,2003-11-04T00:00:00,2007-02-13T17:06:21,3,rev,57.2797467149, -5.7138003131
9100LCHALRT,LCHALRT,LCL,Lochailort Rail Station,"",U,176900,782600,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,56.8809423369, -5.6633772414
9100DUIRNSH,DUIRNSH,DRN,Duirinish Rail Station,"",U,177845,831521,2003-11-04T00:00:00,2010-02-25T14:56:21,2,rev,57.319951049, -5.6913048804
9100PRYN,PRYN,PYN,Penryn Rail Station,"",U,177900,34710,2005-04-04T00:00:00,2011-09-30T14:47:28,2,rev,50.1706984329, -5.111654776
9100PERANWL,PERANWL,PRW,Perranwell Rail Station,"",U,178080,39810,2003-11-04T00:00:00,2011-09-30T14:47:28,2,rev,50.2165660708, -5.1121161477
9100PLOCKTN,PLOCKTN,PLK,Plockton Rail Station,"",U,179450,832950,2005-03-17T00:00:00,2006-09-18T18:24:34,1,rev,57.333539976, -5.6659881238
9100PENMERE,PENMERE,PNM,Penmere Rail Station,"",U,179835,32360,2005-04-04T00:00:00,2011-09-30T14:47:28,2,rev,50.1503163602, -5.0832395818
9100FALMTHT,FALMTHT,FMT,Falmouth Town Rail Station,"",U,181130,32085,2003-11-04T00:00:00,2011-09-30T14:47:28,4,rev,50.1483262428, -5.0649815419
9100DUNCRAG,DUNCRAG,DCG,Duncraig Rail Station,"",U,181207,833239,2005-03-17T00:00:00,2010-02-25T14:56:09,2,rev,57.3369773237, -5.6371200748
9100NEWQUAY,NEWQUAY,NQY,Newquay Rail Station,"",U,181590,61770,2003-11-04T00:00:00,2007-02-13T17:06:21,2,rev,50.415084133, -5.0756989533
9100TRURO,TRURO,TRU,Truro Rail Station,"",U,181667,44924,2003-11-04T00:00:00,2007-02-13T17:06:21,3,rev,50.2638281307, -5.0648592797
9100FALMTHD,FALMTHD,FAL,Falmouth Docks Rail Station,"",U,181777,32322,2005-03-17T00:00:00,2006-09-18T18:24:34,1,rev,50.1506931982, -5.0560746226
9100QNTRLDW,QNTRLDW,QUI,Quintrell Downs Rail Station,"",U,184890,60405,2003-11-04T00:00:00,2011-09-30T14:47:28,3,rev,50.404043309, -5.0285359493
9100OBAN,OBAN,OBN,Oban Rail Station,"",U,185795,729888,2003-11-04T00:00:00,2007-02-13T17:06:21,3,rev,56.4124709629, -5.4739093886
