original coordinate,"ETRS89 Geodetic ( Degrees, Minutes, Seconds )","ETRS89 Geodetic ( Degrees, Decimal Minutes )","ETRS89 Geodetic ( Decimal Degrees )","ETRS89 XYZ","National Grid Eastings and Northings","National Grid KM Square"
"147588 30599","50, 7, 17.984272, W, 5, 31, 57.429939, 52.9792","50, 7.299738, W, 5, 31.957166, 52.9792","50.1216622978, -5.5326194274, 52.9792","4078433.8868, -395052.093, 4871517.2216","147588 30599 0 1","SW4730"
"151947 40127","50, 12, 32.522687, W, 5, 28, 40.669706, 53.0081","50, 12.542045, W, 5, 28.677828, 53.0081","50.2090340797, -5.4779638071, 53.0081","4071380.0741, -390448.983, 4877742.7539","151947 40127 0 1","SW5140"
"152930 38745","50, 11, 49.339741, W, 5, 27, 47.932996, 52.9765","50, 11.822329, W, 5, 27.798883, 52.9765","50.1970388168, -5.4633147211, 52.9765","4072500.2424, -389505.622, 4876888.6984","152930 38745 0 1","SW5238"
"154150 35730","50, 10, 13.727836, W, 5, 26, 39.494719, 52.9289","50, 10.228797, W, 5, 26.658245, 52.9289","50.1704799545, -5.4443040887, 52.9289","4074888.1434, -388369.6429, 4874996.9835","154150 35730 0 1","SW5435"
"154430 36640","50, 10, 43.555666, W, 5, 26, 27.519511, 52.9316","50, 10.725928, W, 5, 26.458659, 52.9316","50.1787654627, -5.4409776419, 52.9316","4074206.0673, -388065.9502, 4875587.2401","154430 36640 0 1","SW5436"
"154770 37220","50, 11, 2.807576, W, 5, 26, 11.754125, 52.9301","50, 11.046793, W, 5, 26.195902, 52.9301","50.1841132154, -5.4365983681, 52.9301","4073780.8812, -387711.2586, 4875968.1557","154770 37220 0 1","SW5437"
"155970 37325","50, 11, 7.985808, W, 5, 25, 11.59552, 52.9132","50, 11.133097, W, 5, 25.193259, 52.9132","50.1855516133, -5.4198876444, 52.9132","4073771.4286, -386511.4857, 4876070.5916","155970 37325 0 1","SW5537"
"164830 39696","50, 12, 37.528106, W, 5, 17, 50.856482, 52.8441","50, 12.625468, W, 5, 17.847608, 52.8441","50.210424474, -5.2974601339, 52.8441","4072471.4962, -377609.6767, 4877841.6065","164830 39696 0 1","SW6439"
"166400 786700","56, 54, 45.086274, W, 5, 50, 20.609475, 55.261","56, 54.751438, W, 5, 50.343491, 55.261","56.9125239651, -5.8390581876, 55.261","3472077.0239, -355072.2038, 5320634.699","166400 786700 -0 1","NM6686"
"167560 797060","57, 0, 21.476113, W, 5, 49, 46.485227, 55.3019","57, 0.357935, W, 5, 49.774754, 55.3019","57.005965587, -5.8295792296, 55.3019","3463457.9585, -353611.8008, 5326308.2725","167560 797060 -0 1","NM6797"
"167800 793000","56, 58, 10.906555, W, 5, 49, 18.838458, 55.279","56, 58.181776, W, 5, 49.313974, 55.279","56.9696962652, -5.8218995718, 55.279","3466874.7434, -353491.1263, 5324107.7509","167800 793000 0 1","NM6792"
"170040 42009","50, 13, 59.668661, W, 5, 13, 33.468984, 52.8141","50, 13.994478, W, 5, 13.557816, 52.8141","50.2332412948, -5.2259636066, 52.8141","4070997.0826, -372349.8876, 4879465.4465","170040 42009 0 1","SW7042"
"170900 785000","56, 53, 58.315507, W, 5, 45, 49.617752, 55.2463","56, 53.971925, W, 5, 45.826963, 55.2463","56.8995320852, -5.7637827088, 55.2463","3473746.4522, -350631.9905, 5319844.7331","170900 785000 0 1","NM7084"
"176247 827123","57, 16, 47.088174, W, 5, 42, 49.681127, 55.249","57, 16.784803, W, 5, 42.828019, 55.249","57.2797467149, -5.7138003131, 55.249","3438680.9679, -344062.5055, 5342850.0117","176247 827123 0 1","NG7627"
"176900 782600","56, 52, 51.392413, W, 5, 39, 48.158069, 55.2481","56, 52.85654, W, 5, 39.802634, 55.2481","56.8809423369, -5.6633772414, 55.2481","3476081.1016, -344715.1584, 5318713.9353","176900 782600 -0 1","NM7682"
"177845 831521","57, 19, 11.823776, W, 5, 41, 28.697569, 55.2034","57, 19.197063, W, 5, 41.478293, 55.2034","57.319951049, -5.6913048804, 55.2034","3435066.5595, -342338.7381, 5345268.8573","177845 831521 0 1","NG7731"
"177900 34710","50, 10, 14.514358, W, 5, 6, 41.957193, 52.7952","50, 10.241906, W, 5, 6.699287, 52.7952","50.1706984329, -5.111654776, 52.7952","4077055.5861, -364703.4693, 4875012.4464","177900 34710 0 1","SW7734"
"178080 39810","50, 12, 59.637855, W, 5, 6, 43.618132, 52.7791","50, 12.993964, W, 5, 6.726969, 52.7791","50.2165660708, -5.1121161477, 52.7791","4073148.7888, -364387.0572, 4878278.7271","178080 39810 -0 1","SW7839"
"179450 832950","57, 20, 0.743913, W, 5, 39, 57.557246, 55.1866","57, 20.012399, W, 5, 39.959287, 55.1866","57.333539976, -5.6659881238, 55.1866","3433949.82, -340695.1133, 5346085.8232","179450 832950 0 1","NG7932"
"179835 32360","50, 9, 1.138897, W, 5, 4, 59.662494, 52.8075","50, 9.018982, W, 5, 4.994375, 52.8075","50.1503163602, -5.0832395818, 52.8075","4078969.938, -362835.6975, 4873560.0241","179835 32360 -0 1","SW7932"
"181130 32085","50, 8, 53.974474, W, 5, 3, 53.933551, 52.8127","50, 8.899575, W, 5, 3.898893, 52.8127","50.1483262428, -5.0649815419, 52.8127","4079254.6397, -361550.8668, 4873418.1789","181130 32085 -0 1","SW8132"
"181207 833239","57, 20, 13.118365, W, 5, 38, 13.632269, 55.1801","57, 20.218639, W, 5, 38.227204, 55.1801","57.3369773237, -5.6371200748, 55.1801","3433800.3328, -338933.2448, 5346292.427","181207 833239 -0 1","NG8133"
"181590 61770","50, 24, 54.302879, W, 5, 4, 32.516232, 52.861","50, 24.905048, W, 5, 4.541937, 52.861","50.415084133, -5.0756989533, 52.861","4056452.2102, -360294.6003, 4892379.596","181590 61770 0 1","SW8161"
"181667 44924","50, 15, 49.781271, W, 5, 3, 53.493407, 52.7906","50, 15.829688, W, 5, 3.891557, 52.7906","50.2638281307, -5.0648592797, 52.7906","4069422.3704, -360670.6651, 4881641.0712","181667 44924 -0 1","SW8144"
"181777 32322","50, 9, 2.495514, W, 5, 3, 21.868641, 52.8145","50, 9.041592, W, 5, 3.364477, 52.8145","50.1506931982, -5.0560746226, 52.8145","4079109.4554, -360898.9081, 4873586.8886","181777 32322 -0 1","SW8132"
"184890 60405","50, 24, 14.555912, W, 5, 1, 42.729418, 52.8286","50, 24.242599, W, 5, 1.712157, 52.8286","50.404043309, -5.0285359493, 52.8286","4057690.1915, -357038.3669, 4891596.8717","184890 60405 0 1","SW8460"
"185795 729888","56, 24, 44.895466, W, 5, 28, 26.073799, 54.9912","56, 24.748258, W, 5, 28.434563, 54.9912","56.4124709629, -5.4739093886, 54.9912","3520577.435, -337375.1023, 5290032.7212","185795 729888 0 1","NM8529"
"186467 834667","57, 21, 8.187592, W, 5, 33, 4.143231, 55.1679","57, 21.13646, W, 5, 33.069054, 55.1679","57.3522743311, -5.5511508974, 55.1679","3432877.4392, -333641.8894, 5347211.6434","186467 834667 -0 1","NG8634"
"189870 780970","56, 52, 20.576097, W, 5, 26, 58.577838, 55.0742","56, 52.342935, W, 5, 26.976297, 55.0742","56.8723822491, -5.449604955, 55.0742","3478137.6784, -331819.2344, 5318192.8984","189870 780970 0 1","NM8980"
"190026 206183","51, 42, 53.944557, W, 5, 2, 27.618594, 54.1272","51, 42.899076, W, 5, 2.46031, 54.1272","51.7149845991, -5.0410051649, 54.1272","3944618.0848, -347954.2166, 4983259.8174","190026 206183 0 1","SM9006"
"191100 59560","50, 23, 55.300343, W, 4, 56, 26.875497, 52.7748","50, 23.921672, W, 4, 56.447925, 52.7748","50.3986945398, -4.9407987491, 52.7748","4058688.8829, -350863.8794, 4891217.5836","191100 59560 0 1","SW9159"
"191470 734050","56, 27, 8.414028, W, 5, 23, 7.512487, 54.8211","56, 27.140234, W, 5, 23.125208, 54.8211","56.45233723, -5.3854201352, 54.8211","3517411.6839, -331590.2577, 5292487.067","191470 734050 0 1","NM9134"
